President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
George W. Bush,01/09/2009,01/11/2009,34,61,5
,12/12/2008,12/14/2008,29,67,4
,12/04/2008,12/07/2008,32,61,7
,11/13/2008,11/16/2008,29,66,4
,11/07/2008,11/09/2008,28,68,5
,10/31/2008,11/02/2008,25,70,5
,10/23/2008,10/26/2008,31,66,3
,10/10/2008,10/12/2008,25,71,4
,10/03/2008,10/05/2008,25,70,6
,09/26/2008,09/27/2008,27,69,4
,09/05/2008,09/07/2008,33,64,3
,08/21/2008,08/23/2008,29,66,5
,08/07/2008,08/10/2008,33,61,6
,07/25/2008,07/27/2008,32,65,3
,07/10/2008,07/13/2008,31,61,8
,06/15/2008,06/19/2008,28,68,4
,06/09/2008,06/12/2008,30,64,6
,05/30/2008,06/01/2008,28,68,4
,05/01/2008,05/03/2008,28,67,5
,04/18/2008,04/20/2008,28,69,4
,04/06/2008,04/09/2008,28,67,5
,03/14/2008,03/16/2008,32,64,4
,03/06/2008,03/09/2008,32,64,4
,02/21/2008,02/24/2008,32,62,5
,02/11/2008,02/14/2008,31,65,4
,02/08/2008,02/10/2008,33,61,5
,01/30/2008,02/02/2008,34,61,5
,01/10/2008,01/13/2008,34,60,6
,01/04/2008,01/06/2008,32,64,4
,12/14/2007,12/16/2007,32,65,3
,12/06/2007,12/09/2007,37,57,5
,11/30/2007,12/02/2007,34,62,4
,11/11/2007,11/14/2007,32,61,7
,11/02/2007,11/04/2007,31,64,5
,10/12/2007,10/14/2007,32,64,3
,10/04/2007,10/07/2007,32,64,4
,09/14/2007,09/16/2007,36,62,2
,09/07/2007,09/08/2007,33,62,5
,08/13/2007,08/16/2007,32,63,5
,08/03/2007,08/05/2007,34,62,4
,07/12/2007,07/15/2007,31,63,6
,07/06/2007,07/08/2007,29,66,5
,06/11/2007,06/14/2007,32,65,3
,06/01/2007,06/03/2007,32,62,6
,05/10/2007,05/13/2007,33,62,5
,05/04/2007,05/06/2007,34,63,3
,04/13/2007,04/15/2007,36,60,4
,04/02/2007,04/05/2007,38,58,4
,03/23/2007,03/25/2007,34,62,4
,03/11/2007,03/14/2007,35,61,4
,03/02/2007,03/04/2007,33,63,4
,02/09/2007,02/11/2007,37,59,3
,02/01/2007,02/04/2007,32,65,4
,01/12/2007,01/14/2007,34,63,4
,01/05/2007,01/07/2007,37,59,4
,12/11/2006,12/14/2006,35,61,4
,12/08/2006,12/10/2006,38,59,4
,11/09/2006,11/12/2006,33,62,4
,11/02/2006,11/05/2006,38,56,6
,10/20/2006,10/22/2006,37,58,4
,10/09/2006,10/12/2006,37,57,6
,10/06/2006,10/08/2006,37,59,4
,09/15/2006,09/17/2006,44,51,5
,09/07/2006,09/10/2006,39,56,5
,08/18/2006,08/20/2006,42,54,4
,08/07/2006,08/10/2006,37,59,4
,07/28/2006,07/30/2006,40,56,4
,07/21/2006,07/23/2006,37,59,4
,07/06/2006,07/09/2006,40,55,5
,06/23/2006,06/25/2006,37,60,3
,06/09/2006,06/11/2006,38,56,6
,06/01/2006,06/04/2006,36,57,6
,05/08/2006,05/11/2006,33,61,6
,05/05/2006,05/07/2006,31,65,5
,04/28/2006,04/30/2006,34,63,3
,04/10/2006,04/13/2006,36,59,5
,04/07/2006,04/09/2006,37,60,3
,03/13/2006,03/16/2006,37,59,5
,03/10/2006,03/12/2006,36,60,4
,02/28/2006,03/01/2006,38,60,2
,02/09/2006,02/12/2006,39,56,4
,02/06/2006,02/09/2006,42,55,4
,01/20/2006,01/22/2006,43,54,4
,01/09/2006,01/12/2006,43,53,4
,01/06/2006,01/08/2006,43,54,3
,12/19/2005,12/22/2005,43,53,4
,12/16/2005,12/18/2005,41,56,3
,12/09/2005,12/11/2005,42,55,3
,12/05/2005,12/08/2005,43,51,4
,11/17/2005,11/20/2005,38,56,4
,11/11/2005,11/13/2005,36,60,3
,11/07/2005,11/10/2005,40,54,4
,10/28/2005,10/30/2005,40,56,2
,10/24/2005,10/27/2005,40,55,3
,10/21/2005,10/23/2005,41,54,3
,10/13/2005,10/16/2005,39,57,3
,09/26/2005,09/28/2005,45,50,4
,09/16/2005,09/18/2005,39,57,2
,09/12/2005,09/15/2005,44,52,3
,09/08/2005,09/11/2005,46,50,3
,08/28/2005,08/30/2005,45,52,2
,08/22/2005,08/25/2005,39,55,4
,08/08/2005,08/11/2005,45,50,4
,07/22/2005,07/24/2005,48,47,3
,07/07/2005,07/10/2005,48,48,3
,06/06/2005,06/26/2005,41,52,6
,06/16/2005,06/19/2005,47,50,2
,06/06/2005,06/08/2005,47,48,4
,05/23/2005,05/26/2005,47,47,4
,05/20/2005,05/22/2005,45,50,3
,05/02/2005,05/05/2005,50,45,4
,04/29/2005,05/01/2005,47,49,3
,04/18/2005,04/21/2005,47,48,3
,04/04/2005,04/07/2005,50,44,4
,04/01/2005,04/02/2005,47,48,3
,03/18/2005,03/20/2005,51,44,4
,03/07/2005,03/10/2005,52,43,4
,02/25/2005,02/27/2005,52,45,2
,02/21/2005,02/24/2005,51,45,3
,02/07/2005,02/10/2005,48,47,3
,02/04/2005,02/06/2005,57,39,3
,01/07/2005,01/09/2005,51,44,3
,01/03/2005,01/05/2005,51,44,3
,12/17/2004,12/19/2004,49,46,4
,12/05/2004,12/08/2004,52,44,3
,11/07/2004,11/10/2004,53,44,2
,10/29/2004,10/31/2004,47,47,4
,10/22/2004,10/24/2004,50,46,3
,10/14/2004,10/16/2004,51,46,2
,10/11/2004,10/14/2004,48,48,2
,10/09/2004,10/10/2004,47,48,3
,10/01/2004,10/03/2004,49,48,1
,09/24/2004,09/26/2004,53,44,1
,09/13/2004,09/15/2004,51,45,3
,09/03/2004,09/05/2004,51,46,2
,08/23/2004,08/25/2004,49,46,3
,08/09/2004,08/11/2004,51,45,3
,07/30/2004,07/31/2004,46,49,3
,07/19/2004,07/21/2004,48,47,3
,07/08/2004,07/11/2004,47,49,3
,06/09/2004,06/29/2004,52,44,2
,06/21/2004,06/23/2004,47,48,3
,06/03/2004,06/06/2004,48,49,2
,05/21/2004,05/23/2004,46,48,4
,05/07/2004,05/09/2004,46,50,2
,05/02/2004,05/04/2004,48,48,3
,04/16/2004,04/18/2004,51,44,3
,04/05/2004,04/08/2004,51,45,3
,03/26/2004,03/28/2004,54,43,2
,03/08/2004,03/11/2004,51,45,2
,03/05/2004,03/07/2004,50,46,2
,02/16/2004,02/17/2004,52,45,2
,02/09/2004,02/12/2004,51,45,2
,02/06/2004,02/08/2004,51,44,4
,01/29/2004,02/01/2004,51,46,2
,01/12/2004,01/15/2004,53,43,2
,01/09/2004,01/11/2004,58,37,3
,01/02/2004,01/05/2004,60,35,4
,12/15/2003,12/16/2003,62,34,2
,12/11/2003,12/14/2003,55,40,3
,11/14/2003,11/16/2003,50,46,3
,11/03/2003,11/05/2003,53,43,3
,10/24/2003,10/27/2003,62,34,3
,10/24/2003,10/26/2003,53,42,4
,10/10/2003,10/12/2003,55,40,3
,10/06/2003,10/08/2003,54,41,3
,09/19/2003,09/21/2003,49,47,3
,09/08/2003,09/10/2003,52,42,4
,08/25/2003,08/26/2003,59,37,3
,08/04/2003,08/06/2003,60,35,3
,07/18/2003,07/20/2003,59,37,3
,07/07/2003,07/09/2003,62,33,4
,06/27/2003,06/29/2003,61,35,3
,06/12/2003,06/15/2003,56,36,6
,06/09/2003,06/10/2003,61,34,3
,05/30/2003,06/01/2003,63,32,4
,05/19/2003,05/21/2003,65,30,3
,05/05/2003,05/07/2003,69,28,2
,04/22/2003,04/23/2003,70,26,3
,04/14/2003,04/16/2003,70,24,4
,04/07/2003,04/09/2003,68,26,4
,04/05/2003,04/06/2003,70,26,3
,03/29/2003,03/30/2003,70,25,3
,03/24/2003,03/25/2003,69,27,3
,03/22/2003,03/23/2003,70,25,3
,03/14/2003,03/15/2003,58,37,4
,03/03/2003,03/05/2003,57,37,5
,02/24/2003,02/26/2003,56,37,5
,02/17/2003,02/19/2003,57,37,5
,02/07/2003,02/09/2003,61,33,4
,02/03/2003,02/06/2003,59,34,6
,01/31/2003,02/02/2003,60,35,4
,01/23/2003,01/25/2003,59,35,4
,01/20/2003,01/22/2003,58,35,6
,01/13/2003,01/16/2003,61,33,5
,01/10/2003,01/12/2003,57,37,5
,01/03/2003,01/05/2003,63,31,4
,12/19/2002,12/22/2002,61,32,6
,12/16/2002,12/17/2002,63,32,3
,12/05/2002,12/08/2002,63,29,7
,11/11/2002,11/14/2002,66,25,7
,11/08/2002,11/10/2002,68,26,4
,10/31/2002,11/03/2002,63,29,7
,10/21/2002,10/22/2002,66,28,4
,10/14/2002,10/17/2002,62,30,6
,10/03/2002,10/06/2002,67,27,4
,09/23/2002,09/25/2002,67,26,6
,09/18/2002,09/18/2002,66,29,4
,09/13/2002,09/16/2002,70,25,4
,09/05/2002,09/08/2002,65,30,4
,09/02/2002,09/04/2002,66,28,4
,08/19/2002,08/21/2002,65,27,6
,07/29/2002,07/31/2002,70,23,5
,07/26/2002,07/28/2002,68,25,5
,07/22/2002,07/24/2002,68,24,7
,07/09/2002,07/11/2002,72,21,5
,07/05/2002,07/08/2002,75,18,6
,06/21/2002,06/23/2002,73,20,6
,06/17/2002,06/19/2002,74,19,6
,06/07/2002,06/08/2002,74,18,7
,06/03/2002,06/06/2002,70,23,6
,05/28/2002,05/29/2002,76,16,6
,05/20/2002,05/22/2002,76,17,6
,05/06/2002,05/09/2002,75,19,4
,04/29/2002,05/01/2002,77,19,3
,04/22/2002,04/24/2002,76,16,6
,04/08/2002,04/11/2002,74,19,5
,04/05/2002,04/07/2002,75,19,5
,03/22/2002,03/24/2002,78,17,3
,03/18/2002,03/20/2002,79,15,4
,03/08/2002,03/09/2002,79,14,5
,03/04/2002,03/07/2002,76,18,5
,03/01/2002,03/03/2002,80,14,4
,02/08/2002,02/10/2002,81,13,4
,02/04/2002,02/06/2002,81,14,4
,01/25/2002,01/27/2002,84,13,2
,01/11/2002,01/14/2002,82,12,4
,12/14/2001,12/16/2001,85,10,3
,12/06/2001,12/09/2001,85,10,3
,11/26/2001,11/27/2001,87,8,4
,11/09/2001,11/15/2001,84,11,3
,11/08/2001,11/11/2001,86,9,3
,11/02/2001,11/04/2001,87,8,3
,10/19/2001,10/21/2001,88,9,2
,10/11/2001,10/14/2001,89,8,2
,10/05/2001,10/07/2001,87,9,3
,09/21/2001,09/22/2001,89,6,4
,09/14/2001,09/15/2001,85,9,4
,09/07/2001,09/11/2001,51,39,9
,08/24/2001,08/26/2001,55,35,9
,08/16/2001,08/19/2001,57,33,8
,08/10/2001,08/12/2001,57,35,7
,08/03/2001,08/05/2001,55,34,10
,07/19/2001,07/22/2001,55,33,10
,07/10/2001,07/11/2001,57,34,8
,06/28/2001,07/01/2001,52,34,13
,06/22/2001,06/28/2001,50,42,7
,06/11/2001,06/17/2001,52,34,12
,06/08/2001,06/10/2001,55,35,9
,05/18/2001,05/20/2001,55,35,8
,05/10/2001,05/14/2001,56,31,12
,05/07/2001,05/09/2001,53,32,14
,04/20/2001,04/22/2001,62,29,9
,04/06/2001,04/08/2001,59,29,11
,03/26/2001,03/28/2001,52,29,18
,03/09/2001,03/11/2001,58,28,13
,03/05/2001,03/07/2001,62,21,15
,02/19/2001,02/21/2001,61,21,16
,02/09/2001,02/11/2001,57,24,17
,02/01/2001,02/04/2001,57,25,18
